row,utt_id,subset,char_sub,char_del,char_ins,char_ref,word_sub,word_del,word_ins,word_ref
1,tr-005_00322,test_guarani_only,20,4,0,24,5,0,1,5
1,tr-009_02047,test_guarani_only,23,3,15,42,5,0,13,5
1,tr-007_01213,test_guarani_only,45,6,0,51,7,0,2,7
1,tr-010_02466,test_guarani_only,1,31,0,32,1,4,0,5
1,tr-008_01948,test_guarani_only,18,14,0,32,3,4,0,7
1,tr-007_01347,test_guarani_only,22,3,0,25,5,1,0,6
1,tr-007_01328,test_guarani_only,10,8,3,31,6,0,2,6
1,tr-010_02424,test_guarani_only,10,4,6,29,6,0,1,6
1,tr-007_01189,test_guarani_only,41,12,0,53,8,1,0,9
1,tr-007_01154,test_guarani_only,12,5,3,26,6,0,0,6
1,tr-008_01774,test_guarani_only,6,35,2,51,4,3,0,7
1,tr-009_02005,test_guarani_only,5,25,0,30,1,5,0,6
1,tr-010_02397,test_guarani_only,7,11,1,22,2,4,0,6
1,tr-010_02510,test_guarani_only,22,11,0,33,6,1,0,7
1,tr-008_01884,test_guarani_only,46,0,0,46,7,0,4,7
1,tr-010_02395,test_guarani_only,13,1,17,40,9,0,4,9
1,tr-009_02044,test_guarani_only,21,8,5,48,8,0,0,8
1,tr-010_02472,test_guarani_only,11,6,5,32,6,0,2,6
1,tr-005_00207,test_guarani_only,5,0,5,12,3,0,1,3
1,tr-008_01937,test_guarani_only,19,1,17,36,6,0,5,6
1,tr-010_02406,test_guarani_only,11,5,0,19,5,0,1,5
1,tr-009_02359,test_guarani_only,5,4,2,27,4,0,1,4
1,tr-007_01208,test_guarani_only,55,0,0,55,11,0,0,11
1,tr-010_02415,test_guarani_only,33,15,17,69,12,0,8,12
1,tr-008_01881,test_guarani_only,4,1,7,15,4,0,1,4
1,tr-010_02520,test_jehea,12,7,1,36,6,0,1,6
1,tr-008_01885,test_jehea,6,10,0,24,4,2,0,6
1,tr-010_02529,test_jehea,6,71,1,87,4,16,0,20
1,tr-007_01440,test_jehea,19,24,5,118,10,6,0,32
1,tr-009_02080,test_jehea,24,8,10,75,12,0,2,16
1,tr-009_02023,test_jehea,31,56,0,114,15,2,0,17
1,tr-007_01396,test_jehea,36,53,0,111,15,8,0,23
1,tr-008_01771,test_jehea,15,21,16,106,10,0,6,16
1,tr-008_01742,test_jehea,11,5,3,29,4,0,1,5
1,tr-007_01490,test_jehea,2,87,0,96,2,20,0,22
1,tr-010_02454,test_jehea,42,18,13,108,19,4,0,23
1,tr-010_02536,test_jehea,41,6,29,101,21,0,10,21
1,tr-007_01215,test_jehea,86,10,43,157,25,1,6,27
1,tr-007_01243,test_jehea,6,9,3,65,5,1,0,16
1,tr-009_02087,test_jehea,29,15,10,91,17,0,3,19
1,tr-008_01968,test_jehea,9,7,9,61,8,2,2,14
1,tr-006_00990,test_jehea,13,13,9,84,10,5,2,23
1,tr-005_00374,test_jehea,1,72,0,80,1,18,0,19
1,tr-005_00406,test_jehea,29,34,9,106,17,2,7,23
1,tr-005_00364,test_jehea,27,10,10,81,11,1,4,17
1,tr-005_00194,test_jehea,17,43,2,77,8,7,0,15
1,tr-005_00323,test_jehea,30,9,22,84,16,1,0,19
1,tr-010_02531,test_jehea,3,29,0,33,1,6,0,7
1,tr-005_00258,test_jehea,7,4,7,53,6,0,2,13
1,tr-005_00198,test_jehea,19,9,6,67,10,0,1,13
1,tr-005_00276,test_jehea,10,10,2,59,9,0,1,11
1,tr-005_00293,test_jehea,17,14,0,54,6,0,3,10
1,tr-005_00203,test_jehea,10,24,8,76,5,2,1,12
1,tr-005_00345,test_jehea,21,9,3,43,10,1,0,11
1,tr-005_00348,test_jehea,24,5,16,51,10,0,7,10
1,tr-005_00403,test_jehea,14,13,9,64,10,3,0,13
1,tr-006_00693,test_jehea,19,30,74,634,38,8,17,176
1,tr-005_00267,test_jehea,11,2,2,25,4,0,1,5
1,tr-010_02425,test_mixed,40,0,5,40,2,5,0,7
1,tr-005_00340,test_mixed,7,7,9,26,6,1,0,8
1,tr-007_01128,test_mixed,13,40,1,65,6,16,0,22
1,tr-008_01702,test_mixed,8,7,5,53,3,6,0,16
1,tr-005_00370,test_mixed,8,7,0,52,7,0,1,14
1,tr-005_00010,test_mixed,16,34,8,173,18,6,1,42
1,tr-008_01864,test_mixed,19,2,11,26,3,2,0,5
1,tr-008_01853,test_mixed,38,0,13,38,8,1,0,9
1,tr-007_01383,test_mixed,58,19,10,100,19,4,0,23
1,tr-011_02995,test_mixed,8,4,4,72,4,4,0,20
1,tr-009_02339,test_mixed,23,14,6,70,10,4,0,19
1,tr-009_02077,test_mixed,40,11,7,89,14,0,8,16
1,tr-008_01931,test_mixed,4,4,2,56,3,1,0,13
1,tr-005_00413,test_mixed,8,16,6,65,8,0,1,14
1,tr-008_01800,test_mixed,5,52,0,71,3,10,0,16
1,tr-011_02953,test_mixed,3,15,1,80,4,4,1,22
1,tr-006_00892,test_mixed,33,28,2,83,15,1,4,20
1,tr-007_01421,test_mixed,35,21,11,78,20,0,0,20
1,tr-007_01533,test_mixed,81,14,18,161,28,0,11,33
1,tr-006_00995,test_mixed,12,9,8,89,9,1,0,26
1,tr-009_02340,test_mixed,49,2,23,75,18,0,0,18
1,tr-005_00086,test_mixed,1,28,0,50,1,8,0,13
1,tr-005_00206,test_mixed,12,34,3,60,6,6,0,12
1,tr-005_00286,test_mixed,44,5,11,64,11,0,4,11
1,tr-005_00347,test_mixed,15,34,1,67,9,5,0,14
1,tr-005_00311,test_mixed,19,30,1,79,9,7,0,18
1,tr-005_00232,test_mixed,5,3,16,43,6,0,6,11
1,tr-006_00641,test_mixed,19,33,32,634,32,10,4,173
1,tr-007_01492,test_mixed,3,1,0,42,2,0,0,10
1,tr-008_01729,test_mixed,2,14,0,41,2,5,0,11
1,tr-006_00897,test_mixed,9,7,5,41,9,0,0,9
1,tr-010_02819,test_mixed,5,5,8,47,5,0,3,11
1,tr-006_00676,test_mixed,3,2,0,33,1,0,0,12
1,tr-010_02545,test_mixed,28,2,23,45,9,0,2,9
1,tr-011_02872,test_mixed,21,28,8,147,16,5,0,41
1,tr-010_02825,test_mixed,5,3,5,75,7,1,0,16
1,tr-009_02231,test_mixed,5,7,13,154,14,1,0,42
1,tr-007_01401,test_mixed,9,7,6,73,9,2,1,22
1,tr-007_01484,test_mixed,3,0,10,133,9,0,0,38
1,tr-007_01348,test_mixed,27,8,5,42,7,1,0,8
1,tr-009_02028,test_mixed,22,11,9,43,8,0,7,8
1,tr-009_02163,test_mixed,9,4,2,94,4,2,0,26
1,tr-008_01576,test_mixed,8,40,40,439,27,12,4,103
1,tr-006_01017,test_mixed,18,16,4,127,9,8,1,33
1,tr-011_03267,test_mixed,4,3,32,98,6,3,6,34
1,tr-006_00680,test_mixed,2,7,4,54,4,3,0,18
1,tr-006_00605,test_mixed,1,7,3,42,3,1,0,10
1,tr-008_01847,test_mixed,46,0,1,46,8,0,1,8
1,tr-011_03237,test_mixed,9,6,8,58,8,1,2,15
1,tr-009_02219,test_mixed,1,6,2,36,4,2,1,10
1,tr-008_01677,test_mixed,0,14,3,92,3,6,0,25
1,tr-006_01075,test_mixed,6,4,3,54,4,3,1,14
1,tr-006_01025,test_mixed,5,2,5,47,4,2,1,13
1,tr-008_01863,test_mixed,11,3,14,34,8,0,2,8
1,tr-010_02746,test_mixed,3,2,11,62,7,1,4,17
1,tr-006_01009,test_mixed,0,1,3,29,3,1,0,9
1,tr-009_02007,test_mixed,10,2,2,24,6,0,0,7
1,tr-007_01398,test_mixed,4,2,6,32,5,0,2,6
1,tr-006_00996,test_mixed,30,9,0,47,6,0,7,6
1,tr-011_03110,test_mixed,5,10,12,78,11,2,1,24
1,tr-008_01705,test_mixed,7,5,5,95,7,4,0,25
1,tr-007_01395,test_mixed,15,25,8,80,13,4,0,19
1,tr-005_00319,test_mixed,4,4,2,38,2,2,0,11
1,tr-008_01798,test_mixed,12,3,7,25,6,0,0,6
1,tr-007_01214,test_mixed,24,0,33,41,10,0,3,10
1,tr-006_00487,test_mixed,3,18,0,59,2,2,0,14
1,tr-007_01427,test_mixed,0,263,0,265,0,61,0,62
1,tr-011_03153,test_spanish_only,0,2,5,51,3,1,1,17
1,tr-010_02781,test_spanish_only,11,5,3,78,8,0,4,19
